timestamp,num_turns,rooms_explored,death_by_pit,death_by_wumpus,death_by_arrows,game_won,arrows_remaining,average_response_time,total_response_time
"2024-09-26 23:31:59.223440",2,1,0,0,0,0,5,14.486365,14.486365
"2024-09-26 23:31:31.407691",3,3,1,0,0,0,5,8.195913,24.587739
"2024-09-26 23:30:43.749341",3,2,0,0,0,0,5,9.6293365,19.258673
"2024-09-26 23:29:48.110002",7,7,1,0,0,0,5,7.50679014285714,52.547531
"2024-09-26 23:29:05.794541",2,1,0,0,0,0,5,14.425337,14.425337
"2024-09-26 23:28:48.997701",1,1,1,0,0,0,5,13.693514,13.693514
"2024-09-26 23:27:45.584146",6,4,0,0,0,0,4,7.0978522,35.489261
"2024-09-26 23:27:16.106834",2,1,0,0,0,1,4,13.1981685,26.396337
"2024-09-26 23:26:53.764642",2,2,1,0,0,0,5,9.5814705,19.162941
"2024-09-26 23:26:20.190432",2,1,0,0,0,1,4,15.231095,30.46219
"2024-09-26 23:25:50.644657",3,3,1,0,0,0,5,8.81950466666667,26.458514
"2024-09-26 23:25:19.694862",3,3,1,0,0,0,5,9.257087,27.771261
"2024-09-26 23:22:31.392242",19,13,0,0,0,1,-1,8.69218342105263,165.151485
"2024-09-26 23:21:49.879282",5,3,1,0,0,0,3,7.6298144,38.149072
"2024-09-26 23:21:12.679772",4,3,0,0,0,1,4,8.4648665,33.859466
"2024-09-26 23:16:10.218221",11,7,1,0,0,0,1,27.1936536363636,299.13019
"2024-09-26 23:15:47.877749",2,2,1,0,0,0,5,9.5817825,19.163565
"2024-09-26 23:15:09.888464",4,3,0,0,0,1,4,8.72455275,34.898211
"2024-09-26 23:14:06.010938",4,2,0,0,0,0,4,10.1944976666667,30.583493
"2024-09-26 23:13:00.755846",1,0,0,0,0,0,5,0.0,0.0
"2024-09-26 23:10:49.899375",17,12,0,0,0,0,1,6.565088625,105.041418
"2024-09-26 23:10:13.640903",1,0,0,0,0,0,5,0.0,0.0
"2024-09-26 23:08:58.098378",4,3,0,0,0,0,5,9.243937,27.731811
"2024-09-26 23:08:25.149680",3,3,1,0,0,0,5,9.90445866666667,29.713376
"2024-09-26 23:08:00.340679",2,2,1,0,0,0,5,10.826955,21.65391
"2024-09-26 23:06:46.541816",8,7,1,0,0,0,4,8.820897875,70.567183
"2024-09-26 23:05:32.664057",10,7,0,0,0,1,2,7.07379,70.7379
"2024-09-26 23:04:34.480392",8,4,0,0,0,1,1,6.87984225,55.038738
"2024-09-26 23:03:53.160078",2,1,0,0,0,0,5,12.863377,12.863377
"2024-09-26 22:58:27.016427",7,6,1,0,0,0,4,7.45579171428571,52.190542
"2024-09-26 22:43:54.426718",15,13,0,0,0,0,4,6.03277613333333,90.491642
"2024-09-26 22:37:48.873318",1,0,0,0,0,0,5,0.0,0.0
