timestamp,num_turns,rooms_explored,death_by_pit,death_by_wumpus,death_by_arrows,game_won,arrows_remaining,action_generation_errors,average_response_time,total_response_time
"2024-09-28 15:47:47.424979",13,10,0,0,0,0,3,1,5.26095491666667,63.131459
"2024-09-28 15:47:05.703040",4,3,0,0,0,0,5,1,7.52779566666667,22.583387
"2024-09-28 15:46:48.383623",1,0,0,0,0,1,4,0,14.121232,14.121232
"2024-09-28 15:46:26.419940",2,1,0,0,0,1,4,0,9.363225,18.72645
"2024-09-28 15:45:58.554920",3,3,1,0,0,0,5,0,8.20780233333333,24.623407
"2024-09-28 15:45:12.897933",7,6,1,0,0,0,4,0,6.05717357142857,42.400215
"2024-09-28 15:44:42.904887",3,2,0,0,0,1,4,0,8.907689,26.723067
"2024-09-28 15:44:10.116552",3,3,1,0,0,0,5,0,9.868084,29.604252
"2024-09-28 15:43:20.293540",1,0,0,0,0,0,5,0,0.0,0.0
"2024-09-28 15:41:38.067242",12,9,0,0,0,0,3,1,5.90628972727273,64.969187
"2024-09-28 15:41:07.129168",2,0,0,0,0,0,4,1,11.769599,11.769599
"2024-09-28 15:40:31.647040",5,4,1,0,0,0,4,0,6.4660936,32.330468
"2024-09-28 15:40:04.017714",4,3,0,0,0,1,4,0,6.135165,24.54066
"2024-09-28 15:39:31.785022",5,4,1,0,0,0,4,0,5.8148502,29.074251
"2024-09-28 15:38:51.850157",7,5,1,0,0,0,3,0,5.26009471428571,36.820663
"2024-09-28 15:38:32.592430",2,1,0,0,0,1,4,0,8.054054,16.108108
"2024-09-28 15:37:53.791248",7,7,1,0,0,0,5,0,5.09849042857143,35.689433
"2024-09-28 15:36:41.260986",4,2,0,0,0,0,4,1,6.89029933333333,20.670898
"2024-09-28 15:36:22.061036",2,1,0,0,0,1,4,0,7.9828745,15.965749
"2024-09-28 15:35:50.937230",5,3,0,0,0,1,3,0,5.4775706,27.387853
"2024-09-28 15:35:12.504025",4,3,0,0,0,0,5,1,6.97834533333333,20.935036
"2024-09-28 15:34:33.867173",4,3,0,0,0,0,5,1,7.00885766666667,21.026573
"2024-09-28 15:34:13.058495",2,2,1,0,0,0,5,0,8.7605585,17.521117
"2024-09-28 15:33:31.565219",5,4,0,0,0,0,5,1,5.9634335,23.853734
"2024-09-28 15:32:47.998533",6,5,0,0,0,0,5,1,5.365576,26.82788
"2024-09-28 15:32:21.337785",4,3,0,0,0,1,4,0,5.86570575,23.462823
"2024-09-28 15:31:56.452349",3,2,0,0,0,1,4,0,7.226971,21.680913
"2024-09-28 15:31:19.491082",7,4,1,0,0,0,2,0,4.81255914285714,33.687914
"2024-09-28 15:30:41.230934",4,3,0,0,0,0,5,1,7.26315266666667,21.789458
"2024-09-28 15:27:26.744074",5,4,0,0,0,1,4,0,5.327451,26.637255
"2024-09-28 15:15:14.433402",2,2,1,0,0,0,5,0,8.5151515,17.030303
"2024-09-28 15:14:56.297218",1,0,0,0,0,0,5,0,0.0,0.0
